"trip_start_timestamp","trip_end_timestamp","time","trip_seconds","trip_miles","weather","wind","visibility"
"2016-11-26 22:15:00","2016-11-26 22:30:00","2016-11-26 22:53:00",600,5,"Passing clouds",15,16
"2016-11-26 22:15:00","2016-11-26 22:30:00","2016-11-26 21:53:00",600,5,"Clear",19,16
"2016-11-26 22:15:00","2016-11-26 22:30:00","2016-11-26 21:53:00",600,5,"Clear",19,16
"2016-11-15 15:15:00","2016-11-15 15:30:00","2016-11-15 14:53:00",660,1.6,"Broken clouds",0,8
"2016-11-15 15:15:00","2016-11-15 15:30:00","2016-11-15 14:53:00",660,1.6,"Broken clouds",0,8
"2016-11-15 15:15:00","2016-11-15 15:30:00","2016-11-15 15:53:00",660,1.6,"Partly sunny",0,13
"2016-11-15 15:15:00","2016-11-15 15:30:00","2016-11-15 15:53:00",660,1.6,"Partly sunny",0,13
"2016-12-07 13:45:00","2016-12-07 14:00:00","2016-12-07 12:53:00",720,3.6,"Broken clouds",22,16
"2016-12-07 13:45:00","2016-12-07 14:00:00","2016-12-07 13:53:00",720,3.6,"More clouds than sun",24,16
"2016-11-09 13:15:00","2016-11-09 13:15:00","2016-11-09 13:53:00",734,2.83,"Passing clouds",0,16
"2016-11-09 13:15:00","2016-11-09 13:15:00","2016-11-09 13:53:00",734,2.83,"Passing clouds",0,16
"2016-11-09 13:15:00","2016-11-09 13:15:00","2016-11-09 12:53:00",734,2.83,"Scattered clouds",9,16
"2016-11-09 13:15:00","2016-11-09 13:15:00","2016-11-09 12:53:00",734,2.83,"Scattered clouds",9,16
"2016-11-22 23:15:00","2016-11-22 23:30:00","2016-11-22 23:53:00",780,9.2,"Overcast",15,16
"2016-11-22 23:15:00","2016-11-22 23:30:00","2016-11-22 23:53:00",780,9.2,"Overcast",15,16
"2016-11-22 23:15:00","2016-11-22 23:30:00","2016-11-22 22:53:00",780,9.2,"Light rain Mostly cloudy",15,16
"2016-11-22 23:15:00","2016-11-22 23:30:00","2016-11-22 22:53:00",780,9.2,"Light rain Mostly cloudy",15,16
"2016-11-17 17:00:00","2016-11-17 17:15:00","2016-11-17 16:53:00",840,0.5,"Overcast",20,16
"2016-11-17 17:00:00","2016-11-17 17:15:00","2016-11-17 16:53:00",840,0.5,"Overcast",20,16
"2016-11-17 17:00:00","2016-11-17 17:15:00","2016-11-17 17:53:00",840,0.5,"High level clouds",20,16
"2016-11-17 17:00:00","2016-11-17 17:15:00","2016-11-17 17:53:00",840,0.5,"High level clouds",20,16
"2016-12-01 17:00:00","2016-12-01 17:15:00","2016-12-01 16:53:00",840,2.88,"Overcast",22,16
"2016-12-01 17:00:00","2016-12-01 17:15:00","2016-12-01 16:53:00",840,2.88,"Overcast",22,16
"2016-12-01 17:00:00","2016-12-01 17:15:00","2016-12-01 17:53:00",840,2.88,"Mostly cloudy",19,16
"2016-12-01 17:00:00","2016-12-01 17:15:00","2016-12-01 17:53:00",840,2.88,"Mostly cloudy",19,16
"2016-11-24 09:30:00","2016-11-24 09:45:00","2016-11-24 08:53:00",960,4.8,"Overcast",13,16
"2016-11-24 09:30:00","2016-11-24 09:45:00","2016-11-24 09:53:00",960,4.8,"Overcast",15,16
"2016-11-24 09:30:00","2016-11-24 09:45:00","2016-11-24 08:53:00",960,4.8,"Overcast",13,16
"2016-11-24 09:30:00","2016-11-24 09:45:00","2016-11-24 09:53:00",960,4.8,"Overcast",15,16
"2016-11-16 22:45:00","2016-11-16 23:15:00","2016-11-16 21:53:00",979,8.02,"Passing clouds",13,14
"2016-11-16 22:45:00","2016-11-16 23:15:00","2016-11-16 22:53:00",979,8.02,"Passing clouds",13,14
"2016-11-16 20:00:00","2016-11-16 20:15:00","2016-11-16 19:53:00",1020,8.4,"Partly cloudy",11,13
"2016-11-29 13:00:00","2016-11-29 13:15:00","2016-11-29 13:53:00",1020,7.9,"Partly sunny",22,16
"2016-11-29 13:00:00","2016-11-29 13:15:00","2016-11-29 13:53:00",1020,7.9,"Partly sunny",22,16
"2016-11-16 20:00:00","2016-11-16 20:15:00","2016-11-16 20:53:00",1020,8.4,"Passing clouds",13,13
"2016-11-16 20:00:00","2016-11-16 20:15:00","2016-11-16 20:53:00",1020,8.4,"Passing clouds",13,13
"2016-11-26 14:30:00","2016-11-26 14:45:00","2016-11-26 14:53:00",1020,3.79,"Broken clouds",15,16
"2016-11-17 10:15:00","2016-11-17 10:30:00","2016-11-17 10:53:00",1020,6.9,"Partly sunny",22,16
"2016-11-17 10:15:00","2016-11-17 10:30:00","2016-11-17 10:53:00",1020,6.9,"Partly sunny",22,16
"2016-11-16 20:00:00","2016-11-16 20:15:00","2016-11-16 19:53:00",1020,8.4,"Partly cloudy",11,13
"2016-11-29 13:00:00","2016-11-29 13:15:00","2016-11-29 12:53:00",1020,7.9,"Scattered clouds",30,16
"2016-11-29 13:00:00","2016-11-29 13:15:00","2016-11-29 12:53:00",1020,7.9,"Scattered clouds",30,16
"2016-11-26 14:30:00","2016-11-26 14:45:00","2016-11-26 13:53:00",1020,3.79,"Broken clouds",17,16
"2016-11-26 14:30:00","2016-11-26 14:45:00","2016-11-26 13:53:00",1020,3.79,"Broken clouds",17,16
"2016-11-17 10:15:00","2016-11-17 10:30:00","2016-11-17 09:53:00",1020,6.9,"Partly sunny",22,16
"2016-11-17 10:15:00","2016-11-17 10:30:00","2016-11-17 09:53:00",1020,6.9,"Partly sunny",22,16
"2016-12-02 08:45:00","2016-12-02 09:00:00","2016-12-02 08:53:00",1020,4,"More clouds than sun",17,16
"2016-12-02 08:45:00","2016-12-02 09:00:00","2016-12-02 07:53:00",1020,4,"Overcast",15,16
"2016-11-26 14:30:00","2016-11-26 14:45:00","2016-11-26 14:53:00",1020,3.79,"Broken clouds",15,16
"2016-11-17 22:15:00","2016-11-17 22:30:00","2016-11-17 21:53:00",1055,9.77,"Passing clouds",28,16
"2016-11-17 22:15:00","2016-11-17 22:30:00","2016-11-17 22:53:00",1055,9.77,"Passing clouds",24,16
"2016-11-17 22:15:00","2016-11-17 22:30:00","2016-11-17 21:53:00",1055,9.77,"Passing clouds",28,16
"2016-11-17 22:15:00","2016-11-17 22:30:00","2016-11-17 22:53:00",1055,9.77,"Passing clouds",24,16
"2016-11-26 04:00:00","2016-11-26 04:30:00","2016-11-26 03:53:00",1080,9.8,"Overcast",7,16
"2016-11-26 04:00:00","2016-11-26 04:30:00","2016-11-26 03:53:00",1080,9.8,"Overcast",7,16
"2016-11-26 04:00:00","2016-11-26 04:30:00","2016-11-26 04:53:00",1080,9.8,"Overcast",11,16
"2016-11-26 04:00:00","2016-11-26 04:30:00","2016-11-26 04:53:00",1080,9.8,"Overcast",11,16
"2016-11-13 16:15:00","2016-11-13 16:45:00","2016-11-13 16:53:00",1080,4.2,"Passing clouds",20,16
"2016-11-13 16:15:00","2016-11-13 16:45:00","2016-11-13 16:53:00",1080,4.2,"Passing clouds",20,16
"2016-11-13 16:15:00","2016-11-13 16:45:00","2016-11-13 15:53:00",1080,4.2,"Scattered clouds",24,16
"2016-11-13 16:15:00","2016-11-13 16:45:00","2016-11-13 15:53:00",1080,4.2,"Scattered clouds",24,16
"2016-11-19 02:00:00","2016-11-19 02:15:00","2016-11-19 01:53:00",1080,7.58,"Drizzle Mostly cloudy",26,16
"2016-11-19 02:00:00","2016-11-19 02:15:00","2016-11-19 01:53:00",1080,7.58,"Drizzle Mostly cloudy",26,16
"2016-11-19 02:00:00","2016-11-19 02:15:00","2016-11-19 02:53:00",1080,7.58,"Mostly cloudy",32,16
"2016-11-19 02:00:00","2016-11-19 02:15:00","2016-11-19 02:53:00",1080,7.58,"Mostly cloudy",32,16
"2016-11-14 22:30:00","2016-11-14 22:45:00","2016-11-14 22:53:00",1140,5.6,"Passing clouds",6,16
"2016-11-14 22:30:00","2016-11-14 22:45:00","2016-11-14 22:53:00",1140,5.6,"Passing clouds",6,16
"2016-11-14 22:30:00","2016-11-14 22:45:00","2016-11-14 21:53:00",1140,5.6,"Partly cloudy",0,16
"2016-11-14 22:30:00","2016-11-14 22:45:00","2016-11-14 21:53:00",1140,5.6,"Partly cloudy",0,16
"2016-11-26 19:00:00","2016-11-26 19:15:00","2016-11-26 19:53:00",1140,13.5,"Passing clouds",17,14
"2016-11-26 19:00:00","2016-11-26 19:15:00","2016-11-26 19:53:00",1140,13.5,"Passing clouds",17,14
"2016-11-26 19:00:00","2016-11-26 19:15:00","2016-11-26 18:53:00",1140,13.5,"Passing clouds",19,14
"2016-11-26 19:00:00","2016-11-26 19:15:00","2016-11-26 18:53:00",1140,13.5,"Passing clouds",19,14
"2016-11-22 12:00:00","2016-11-22 12:15:00","2016-11-22 12:53:00",1146,9.46,"More clouds than sun",20,16
"2016-11-22 12:00:00","2016-11-22 12:15:00","2016-11-22 12:53:00",1146,9.46,"More clouds than sun",20,16
"2016-11-22 12:00:00","2016-11-22 12:15:00","2016-11-22 11:53:00",1146,9.46,"More clouds than sun",17,16
"2016-11-22 12:00:00","2016-11-22 12:15:00","2016-11-22 11:53:00",1146,9.46,"More clouds than sun",17,16
"2016-11-25 01:15:00","2016-11-25 01:30:00","2016-11-25 01:53:00",1200,12.6,"Fog",11,10
"2016-11-25 01:15:00","2016-11-25 01:30:00","2016-11-25 01:53:00",1200,12.6,"Fog",11,10
"2016-11-25 01:15:00","2016-11-25 01:30:00","2016-11-25 00:53:00",1200,12.6,"Drizzle Fog",15,10
"2016-11-25 01:15:00","2016-11-25 01:30:00","2016-11-25 00:53:00",1200,12.6,"Drizzle Fog",15,10
"2016-11-16 23:00:00","2016-11-16 23:30:00","2016-11-16 23:53:00",1260,12.9,"Passing clouds",9,11
"2016-11-16 23:00:00","2016-11-16 23:30:00","2016-11-16 23:53:00",1260,12.9,"Passing clouds",9,11
"2016-11-16 23:00:00","2016-11-16 23:30:00","2016-11-16 22:53:00",1260,12.9,"Passing clouds",13,14
"2016-11-16 23:00:00","2016-11-16 23:30:00","2016-11-16 22:53:00",1260,12.9,"Passing clouds",13,14
"2016-11-18 20:15:00","2016-11-18 20:45:00","2016-11-18 20:53:00",1320,15,"Overcast",37,16
"2016-11-18 20:15:00","2016-11-18 20:45:00","2016-11-18 19:53:00",1320,15,"Overcast",46,16
"2016-11-17 16:30:00","2016-11-17 17:00:00","2016-11-17 16:53:00",1320,0.5,"Overcast",20,16
"2016-11-17 16:30:00","2016-11-17 17:00:00","2016-11-17 15:53:00",1320,0.5,"More clouds than sun",26,16
"2016-11-18 20:15:00","2016-11-18 20:45:00","2016-11-18 20:53:00",1320,15,"Overcast",37,16
"2016-11-18 20:15:00","2016-11-18 20:45:00","2016-11-18 19:53:00",1320,15,"Overcast",46,16
"2016-11-19 18:45:00","2016-11-19 19:15:00","2016-11-19 17:53:00",1380,15.1,"Passing clouds",22,16
"2016-11-19 18:45:00","2016-11-19 19:15:00","2016-11-19 18:53:00",1380,15.1,"Passing clouds",20,16
"2016-11-21 16:15:00","2016-11-21 16:45:00","2016-11-21 16:53:00",1560,7.4,"Passing clouds",13,16
"2016-11-21 16:15:00","2016-11-21 16:45:00","2016-11-21 16:53:00",1560,7.4,"Passing clouds",13,16
"2016-11-21 16:15:00","2016-11-21 16:45:00","2016-11-21 15:53:00",1560,7.4,"Passing clouds",11,16
"2016-11-21 16:15:00","2016-11-21 16:45:00","2016-11-21 15:53:00",1560,7.4,"Passing clouds",11,16
"2016-11-25 21:45:00","2016-11-25 22:15:00","2016-11-25 20:53:00",1620,18.41,"Passing clouds",13,16
"2016-11-25 21:45:00","2016-11-25 22:15:00","2016-11-25 21:53:00",1620,18.41,"Passing clouds",7,16
"2016-12-03 15:30:00","2016-12-03 15:45:00","2016-12-03 14:53:00",1740,7,"Partly sunny",13,16
"2016-12-03 15:30:00","2016-12-03 15:45:00","2016-12-03 14:53:00",1740,7,"Partly sunny",13,16
"2016-12-03 15:30:00","2016-12-03 15:45:00","2016-12-03 15:53:00",1740,7,"Partly sunny",11,16
"2016-12-03 15:30:00","2016-12-03 15:45:00","2016-12-03 15:53:00",1740,7,"Partly sunny",11,16
"2016-11-18 12:15:00","2016-11-18 12:45:00","2016-11-18 12:53:00",1786,1.48,"Light rain Mostly cloudy",28,16
"2016-11-18 12:15:00","2016-11-18 12:45:00","2016-11-18 11:53:00",1786,1.48,"Cloudy",26,16
